datetime,sourceCountry,language,title,url,symbol,timestamp
20260119T120000Z,United States,English,Meitav Investment House Ltd . Invests $1 . 34 Million in Invesco Galaxy Ethereum Etf $QETH,https://www.dailypolitical.com/2026/01/19/meitav-investment-house-ltd-invests-1-34-million-in-invesco-galaxy-ethereum-etf-qeth.html,ETH,2026-01-19 12:00:00+00:00
20260120T064500Z,United States,English,"Ethereum Price Trapped Under $3 , 250 , Momentum Tilts Lower",https://www.newsbtc.com/analysis/eth/ethereum-price-trapped-under-3250/,ETH,2026-01-20 06:45:00+00:00
20260120T213000Z,United States,English,"Ethereum Price Prediction : ETH Price Holds Triple Bottom Breakout as $3 , 100 – $3 , 200 Support Defines Path to $4 , 000",https://bravenewcoin.com/insights/ethereum-price-prediction-eth-price-holds-triple-bottom-breakout-as-3100-3200-support-defines-path-to-4000,ETH,2026-01-20 21:30:00+00:00
20260121T071500Z,United States,English,"Ethereum Price Breaks Under $3K , Charts Flash Fresh Warnings",https://www.newsbtc.com/analysis/eth/ethereum-price-breaks-under-3k/,ETH,2026-01-21 07:15:00+00:00
20260122T061500Z,United States,English,"Ethereum Price Attempts Bounce While $3 , 000 Separates Bulls And Bears",https://www.newsbtc.com/analysis/eth/ethereum-price-attempts-bounce-3k/,ETH,2026-01-22 06:15:00+00:00
20260123T053000Z,United States,English,"Ethereum Bulls Must Conquer $3 , 050 Or Momentum Quickly Fades",https://www.newsbtc.com/analysis/eth/ethereum-bulls-must-conquer-3050/,ETH,2026-01-23 05:30:00+00:00
20260123T193000Z,Canada,English,Baystreet . ca - Outflows From Bitcoin ETFs Resume As Price Slumps,http://baystreet.ca/cryptonews/1228/Outflows-From-Bitcoin-ETFs-Resume-As-Price-Slumps,BTC,2026-01-23 19:30:00+00:00
20260124T003000Z,United States,English,GraniteShares YieldBOOST Bitcoin ETF ( NASDAQ : XBTY ) to Issue $0 . 19 Dividend,https://www.themarketsdaily.com/2026/01/24/graniteshares-yieldboost-bitcoin-etf-nasdaqxbty-to-issue-0-19-dividend.html,BTC,2026-01-24 00:30:00+00:00
20260124T144500Z,United States,English,Bitcoin Price Still Has Room To Fall Below $60K Crypto CEO,https://www.newsbtc.com/news/bitcoin/bitcoin-price-still-has-room-to-fall-below-60k-crypto-ceo/,BTC,2026-01-24 14:45:00+00:00
20260124T204500Z,United States,English,Ethereum ( ETH ) Price Prediction : Ethereum Retests $3K Resistance as Accumulation and Transaction Growth Support Upside,https://bravenewcoin.com/insights/ethereum-eth-price-prediction-ethereum-retests-3k-resistance-as-accumulation-and-transaction-growth-support-upside,ETH,2026-01-24 20:45:00+00:00
